sku,model,mae,mse,rmse,mape
SKU_01,moving_avg_7,3.8902210884353745,24.517091836734693,4.951473703528546,25.835399650216136
SKU_01,naive,5.0303571428571425,41.993452380952384,6.480235518941606,32.340532891703425
SKU_01,ridge_recursive,6.810896000210302,70.55110275050603,8.399470385119887,45.470895825358745
SKU_02,moving_avg_7,27.448894557823127,1245.5587585034014,35.29247453074665,13.260089378788189
SKU_02,naive,35.0172619047619,2149.543452380952,46.363169136513434,16.424710608304867
SKU_02,ridge_recursive,22.885745116841015,945.9713371473703,30.756647040068756,10.064590264577545
SKU_03,moving_avg_7,1593.6243197278911,3504434.6489795917,1872.013527990541,15.48764144693112
SKU_03,naive,2007.259523809524,6123475.455952381,2474.5657105747628,19.504818180811732
SKU_03,ridge_recursive,790.2057452982685,1089529.6468533413,1043.8053682815303,7.959387921692941
SKU_04,moving_avg_7,227.56326530612242,109121.69421768707,330.3357295505393,12.64513095611049
SKU_04,naive,237.05714285714285,145866.74166666667,381.92504718421736,13.25731905510105
SKU_04,ridge_recursive,230.05141764403203,113153.38857109919,336.38280064697005,13.429850677656516
SKU_05,moving_avg_7,98.3312925170068,20363.629591836736,142.70118987533613,24.768974258589573
SKU_05,naive,126.08690476190476,32392.89761904762,179.98027008271663,27.82609103635477
SKU_05,ridge_recursive,128.2426950059436,33437.00692196293,182.8578872292987,35.404815881127774
